transcript_id	seqnames	strand	gene	source	TX_category	NAGATA.transcript_id	NAGATA.prime5.TR	NAGATA.support	NAGATE.distance	CAGE_significance	CAGE_support	CAGE_score	EX_1	EX_2	EX_3	EX_4	1h	2h	4h	6h	8h	12h	18h	24h	48h	sum_dcDNA_read_count	presence	CAGE_TSS_ratio	putatives_to_keep
ORF2-Putative mRNA-novTX_750	NC_001491.2	-	ORF2	Tombacz_et_al	Putative mRNA	mRNA.TU.1-TSS.34.1-0--0.21::-	2342	distance <= 25	1	**	4		1918-2343				0	0	0	0	0	0	0	1	0	1	1	0.0292671162032064	
ORF20	NC_001491.2	-	ORF20	Torma_et_al	Monocistronic	mRNA.TU.12-TSS.1537.1-0--0.33::-	28984	distance <= 25	1	***	9	96141.270644719	27868-28983				0	125	139	393	894	1353	270	219	311	3704	8		
ORF20-L1	NC_001491.2	-	ORF20	Torma_et_al	Monocistronic-Long			NA					27868-30118				0	0	2	6	2	10	4	2	6	32	7		
ORF20-Monocistronic-Long-novTX_396	NC_001491.2	-	ORF20	Tombacz_et_al	Monocistronic-Long	mRNA.TU.12-TSS.1541.1-0--0.13::-	29001	distance <= 25	1	***	9		27868-29000				0	0	0	1	2	0	0	0	1	4	3		
ORF20-Monocistronic-Long-novTX_692	NC_001491.2	-	ORF20	Tombacz_et_al	Monocistronic-Long	mRNA.TU.12-TSS.1567.1-0--0.05::-	29203	distance <= 25	6	**	5		27868-29209				0	0	0	2	1	1	1	0	0	5	4		
ORF20-Monocistronic-Short-novTX_394	NC_001491.2	-	ORF20	Tombacz_et_al	Monocistronic-Short	mRNA.TU.12-TSS.1532.1-0--0.59::-	28961	distance <= 25	1	***	9		27868-28962				0	0	0	9	3	5	0	0	1	18	4		
ORF20-ORF19-ORF18-ORF17-ORF16-ORF15-CX-Canonic	NC_001491.2	-	ORF20	Torma_et_al	Multicistronic	mRNA.TU.12-TSS.1537.1-0--0.33::-	28984	distance <= 25	1	***	9	96141.270644719	20383-28983				0	0	0	0	0	0	0	0	1	1	1		
ORF20-Putative mRNA-novTX_385	NC_001491.2	-	ORF20	Tombacz_et_al	Putative mRNA	mRNA.TU.12-TSS.1371.1-0--0.19::-	28242	distance <= 25	0	***	8		27868-28242				0	0	0	0	0	2	1	0	0	3	2	0.0195847770966177	
ORF20-Putative mRNA-novTX_389	NC_001491.2	-	ORF20	Tombacz_et_al	Putative mRNA	mRNA.TU.12-TSS.1504.1-0--0.35::-	28808	distance <= 25	0	**	4		27868-28808				0	0	0	0	0	1	2	1	1	5	4	0.0195847770966177	
ORF20-Putative mRNA-novTX_781	NC_001491.2	-	ORF20	Tombacz_et_al	Putative mRNA	mRNA.TU.12-TSS.1445.1-0--1.11::-	28511	distance <= 25	2	**	4		27868-28513				0	0	0	1	0	0	1	0	0	2	2	0.0195847770966177	
ORF21-Monocistronic-Long-novTX_404	NC_001491.2	-	ORF21	Tombacz_et_al	Monocistronic-Long			NA		***	9		27868-31361				0	0	1	0	1	0	0	1	0	3	3		
ORF21-Monocistronic-Long-novTX_693	NC_001491.2	-	ORF21	Tombacz_et_al	Monocistronic-Long			NA		***	9		27868-31322				0	1	0	0	0	1	0	1	0	3	3		
ORF21-ORF20-PC-Canonic	NC_001491.2	-	ORF21	Torma_et_al	Multicistronic			NA		***	9	87293.42157783	27868-31344				0	36	38	27	214	456	35	68	56	930	8		
ORF21-ORF20-PC-Long	NC_001491.2	-	ORF21	Torma_et_al	Multicistronic-Long	mRNA.TU.13-TSS.1846.1-0--0.07::-	32813	distance <= 25	5				27868-32808				0	0	0	0	1	0	0	1	0	2	2		
ORF21-ORF20-PC-Long-2	NC_001491.2	-		Torma_et_al	Multicistronic-Long	mRNA.TU.13-TSS.1849.1-0--0.1::-	32842	distance <= 25	13				27868-32829																
ORF21-ORF22-ORF23-CX-Canonic	NC_001491.2	+	ORF23	Torma_et_al	Multicistronic			NA		**	4	954.169666579	28668-36380				0	0	0	0	0	5	1	2	1	9	4		
ORF21-ORF22-ORF23-CX-Long	NC_001491.2	+	ORF23	Torma_et_al	Multicistronic-Long			NA					28131-36380				0	0	0	0	1	3	0	0	0	4	2		
ORF22	NC_001491.2	-	ORF22	Torma_et_al	Monocistronic	mRNA.TU.13-TSS.1862.1-0--0.89::-	33039	distance <= 25	14	***	9	79435.216240521	31489-33053				0	12	35	133	500	1366	610	910	847	4413	8		
ORF22-L1	NC_001491.2	-	ORF22	Torma_et_al	Monocistronic-Long			NA					31489-33642				0	0	0	4	8	24	7	5	7	55	6		
ORF22-L2	NC_001491.2	-	ORF22	Torma_et_al	Monocistronic-Long			NA		*	1	111.819300011	31489-35022				0	0	0	0	0	11	4	6	12	33	4		
ORF22-L3	NC_001491.2	-	ORF22	Torma_et_al	Monocistronic-Long			NA					31489-35409				0	0	0	0	1	4	2	1	7	15	5		
ORF22-L4	NC_001491.2	-	ORF22	Torma_et_al	Monocistronic-Long			NA					31489-35525				0	0	0	0	0	6	1	6	8	21	4		
ORF22-Monocistronic-Long-novTX_411	NC_001491.2	-	ORF22	Tombacz_et_al	Monocistronic-Long	mRNA.TU.13-TSS.1862.1-0--0.89::-	33039	distance <= 50	33	***	9		31489-33072				0	0	0	0	0	3	0	0	1	4	2		
ORF22-Monocistronic-Long-novTX_412	NC_001491.2	-	ORF22	Tombacz_et_al	Monocistronic-Long	mRNA.TU.13-TSS.1862.1-0--0.89::-	33039	distance <= 100	75	***	9		31489-33114				0	0	0	0	1	0	2	0	1	4	3		
ORF22-ORF21-ORF20-PC-Canonic	NC_001491.2	-	ORF22	Torma_et_al	Multicistronic	mRNA.TU.13-TSS.1862.1-0--0.89::-	33039	distance <= 25	14	***	9	79435.216240521	27868-33053				0	0	0	0	2	15	6	17	22	62	5		
ORF22-Putative mRNA-novTX_408	NC_001491.2	-	ORF22	Tombacz_et_al	Putative mRNA	mRNA.TU.13-TSS.1743.1-0--0.24::-	32226	distance <= 25	1	**	5		31489-32227				0	0	0	0	0	0	2	1	1	4	3	0.0205543871328925	
ORF22-Putative mRNA-novTX_410	NC_001491.2	-	ORF22	Tombacz_et_al	Putative mRNA	mRNA.TU.13-TSS.1832.1-0--0.26::-	32682	distance <= 25	1	***	3		31489-32681				0	0	0	0	0	3	4	0	2	9	3	0.0205543871328925	
ORF23	NC_001491.2	+	ORF23	Torma_et_al	Monocistronic	mRNA.TU.10-TSS.1175.1-0--0.09::+	33252	distance <= 25	15	***	8	11862.110589904	33237-36380				0	3	0	10	104	222	39	148	119	645	7		
ORF23-L1	NC_001491.2	+	ORF23	Torma_et_al	Monocistronic-Long			NA					32802-36380				0	0	0	0	0	1	0	0	1	2	2		
ORF23-Monocistronic-Long-novTX_299	NC_001491.2	+	ORF23	Tombacz_et_al	Monocistronic-Long	mRNA.TU.10-TSS.1175.1-0--0.09::+	33252	distance <= 50	28	***	8		33224-36380				0	0	0	0	3	4	0	0	1	8	3		
ORF23-ORF22-CX-Canonic	NC_001491.2	-	ORF22	Torma_et_al	Multicistronic			NA					31489-36847				0	0	0	0	0	2	1	7	6	16	4		
ORF23-Putative mRNA-novTX_324	NC_001491.2	+	ORF23	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.1254.1-0--0.73::+	35459	distance <= 25	8	**	5		35467-36380				0	0	0	0	0	2	1	0	1	4	3	0.37631074168798	TRUE
ORF23-Putative mRNA-novTX_329	NC_001491.2	+	ORF23	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.1222.1-0--0.18::+	35216	distance <= 25	25	**	3		35191-36380				0	0	0	0	1	0	0	0	0	1	1	0.37631074168798	
ORF23-Putative mRNA-novTX_344	NC_001491.2	+	ORF23	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.1337.1-0--0.32::+	35901	distance <= 25	4	***	3		35897-36380				0	0	0	1	1	3	0	0	0	5	3	0.37631074168798	TRUE
ORF23-Putative mRNA-novTX_52	NC_001491.2	+	ORF23	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.1309.1-0--0.26::+	35760	distance <= 25	5	**	5		35755-36380				0	0	0	3	1	1	1	1	5	12	6	0.37631074168798	TRUE
ORF23-Putative mRNA-novTX_53	NC_001491.2	+	ORF23	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.1372.1-0--0.41::+	36079	distance <= 25	1	**	4		36080-36380				0	0	0	0	0	0	3	0	0	3	1	0.37631074168798	
ORF23.5	NC_001491.2	+	ORF23	Torma_et_al	Putative mRNA	mRNA.TU.10-TSS.1319.1-0--0.29::+	35813	distance <= 25	1	***	9	18095.726569057	35814-36380				0	0	2	88	129	314	152	114	145	944	7	0.37631074168798	
ORF24	NC_001491.2	+	ORF24	Torma_et_al	Monocistronic			NA		***	9	18947.390946037	36497-46890				0	0	0	0	2	8	0	1	1	12	4		
ORF24-Putative mRNA-novTX_285	NC_001491.2	+	ORF24	Tombacz_et_al	Putative mRNA	mRNA.TU.11-TSS.1432.1-0--0.15::+	45787	distance <= 25	1	***	6		45786-46890				0	0	0	0	1	0	1	0	0	2	2	0.281651138716356	
ORF24-Putative mRNA-novTX_56	NC_001491.2	+	ORF24	Tombacz_et_al	Putative mRNA	mRNA.TU.11-TSS.1437.1-0--0.6::+	45839	distance <= 25	0	***	3		45839-46890				0	0	0	0	0	3	1	0	2	6	3	0.281651138716356	TRUE
ORF24.5	NC_001491.2	+	ORF24	Torma_et_al	Putative mRNA	mRNA.TU.11-TSS.1400.1-0--0.81::+	45196	distance <= 25	1				45197-46890				0	0	0	2	6	5	14	7	15	49	6		
ORF24.6	NC_001491.2	+	ORF24	Torma_et_al	Putative mRNA	mRNA.TU.11-TSS.1412.1-0--0.25::+	45480	distance <= 25	3	***	8	10025.662746044	45483-46890				0	0	1	26	95	173	52	65	57	469	7	0.281651138716356	
ORF24.7	NC_001491.2	+	ORF24	Torma_et_al	Putative mRNA	mRNA.TU.11-TSS.1433.1-0--1.21::+	45811	distance <= 25	11	***	6	1854.987590409	45800-46890				0	0	0	3	12	31	7	2	9	64	6	0.281651138716356	
ORF24.8	NC_001491.2	+	ORF24	Torma_et_al	Putative mRNA	mRNA.TU.11-TSS.1465.1-0--0.3::+	46070	distance <= 25	4	**	4	1651.013070769	46066-46890				0	0	0	6	11	20	20	13	10	80	6	0.281651138716356	
ORF25	NC_001491.2	-	ORF25	Torma_et_al	Monocistronic	mRNA.TU.17-TSS.1958.1-0--0.08::-	47374	distance <= 25	0	***	9	140580.608043472	46895-47374				3	4	5	1792	6166	26156	18392	16163	15906	84587	9		
ORF25-Monocistronic-Long-novTX_421	NC_001491.2	-	ORF25	Tombacz_et_al	Monocistronic-Long	mRNA.TU.17-TSS.2110.1-0--0.18::-	48169	distance <= 25	13	**	4		46895-48182				0	0	0	2	3	5	2	1	2	15	6		
ORF25-Monocistronic-Long-novTX_695	NC_001491.2	-	ORF25	Tombacz_et_al	Monocistronic-Long	mRNA.TU.17-TSS.1997.1-0--0.11::-	47559	distance <= 25	4	**	4		46895-47555				0	0	0	0	1	0	2	1	3	7	4		
ORF25-Monocistronic-Long-novTX_696	NC_001491.2	-	ORF25	Tombacz_et_al	Monocistronic-Long	mRNA.TU.17-TSS.2054.1-0--0.24::-	47824	distance <= 25	2	**	4		46895-47822				0	0	0	8	4	4	4	1	6	27	6		
ORF25-Monocistronic-Long-novTX_754	NC_001491.2	-	ORF25	Tombacz_et_al	Monocistronic-Long	mRNA.TU.17-TSS.2016.1-0--0.2::-	47633	distance <= 25	2	***	6		46895-47635				0	0	0	0	0	1	2	2	0	5	3		
ORF25-Monocistronic-Short-novTX_416	NC_001491.2	-	ORF25	Tombacz_et_al	Monocistronic-Short	mRNA.TU.17-TSS.1956.1-0--35.9::-	47361	distance <= 25	1	***	9		46895-47360				0	0	0	2	3	1	4	1	15	26	6		
ORF25-ORF26-ORF27-ORF28-ORF29-CX	NC_001491.2	+	ORF28	Torma_et_al	Multicistronic			NA		**	3	458.333536681	47036-51686				0	0	0	0	1	3	0	1	0	5	3		
ORF25-Putative mRNA-novTX_739	NC_001491.2	-	ORF25	Tombacz_et_al	Putative mRNA	mRNA.TU.17-TSS.1939.1-0--1.79::-	47276	distance <= 25	3	**	3		46895-47279				0	0	0	1	1	0	3	3	4	12	5	0.00486967145979682	
ORF25-Putative mRNA-novTX_765	NC_001491.2	-	ORF25	Tombacz_et_al	Putative mRNA	mRNA.TU.17-TSS.1911.1-0--0.21::-	47140	distance <= 25	4	**	3		46895-47136				0	0	0	4	2	3	8	2	6	25	6	0.00486967145979682	
ORF26-Multicistronic-Long-novTX_747	NC_001491.2	-	ORF26	Tombacz_et_al	Multicistronic-Long	mRNA.TU.17-TSS.2124.1-0--0.06::-	48272	distance <= 50	47	***	9		46895-48319				0	0	0	0	0	1	1	0	1	3	3		
ORF26-Multicistronic-Long-novTX_785	NC_001491.2	-	ORF26	Tombacz_et_al	Multicistronic-Long	mRNA.TU.17-TSS.2122.1-0--0.62::-	48265	distance <= 25	2	***	9		46895-48267				0	0	0	0	0	0	0	1	0	1	1		
ORF26-Multicistronic-Short-novTX_720	NC_001491.2	-	ORF26	Tombacz_et_al	Multicistronic-Short	mRNA.TU.17-TSS.2119.1-0--0.09::-	48234	distance <= 25	13	***	9		46895-48247				0	0	0	1	2	2	3	0	1	9	5		
ORF26-ORF25-PC-Canonic	NC_001491.2	-	ORF26	Torma_et_al	Multicistronic	mRNA.TU.17-TSS.2124.1-0--0.06::-	48272	distance <= 25	14	***	9	183306.123209144	46895-48286				0	1	0	53	197	318	79	56	100	804	7		
ORF26-ORF25-PC-Long	NC_001491.2	-	ORF26	Torma_et_al	Multicistronic-Long			NA		***	7	4624.196614647	46895-48504				0	0	0	5	26	66	16	13	12	138	6		
ORF26-ORF25-PC-Long-2	NC_001491.2	-	ORF26	Torma_et_al	Multicistronic-Long	mRNA.TU.17-TSS.2124.1-0--0.06::-	48272	distance <= 50	26	***	9	183306.123209144	46895-48298				0	0	1	12	26	36	11	14	6	106	7		
ORF27-Multicistronic-Short-novTX_740	NC_001491.2	-	ORF27	Tombacz_et_al	Multicistronic-Short			NA		***	6		46895-49214				0	0	0	0	1	4	0	1	3	9	4		
ORF27-ORF26-ORF25-PC-Canonic	NC_001491.2	-	ORF27	Torma_et_al	Multicistronic			NA					46895-49982				0	0	1	1	2	17	6	13	9	49	7		
ORF27-ORF26-ORF25-PC-Long	NC_001491.2	-	ORF27	Torma_et_al	Multicistronic-Long			NA		*	1	155.424308362	46895-50520				0	0	0	0	1	11	1	4	6	23	5		
ORF27-ORF26-ORF25-PC-Long-2	NC_001491.2	-	ORF27	Torma_et_al	Multicistronic-Long			NA					46895-50613				0	0	0	0	0	5	1	5	7	18	4		
ORF27-ORF28-ORF29-ORF30-ORF3-CX-Canonic1	NC_001491.2	+	ORF27	Torma_et_al	Multicistronic			NA					48073-59182				0	0	0	0	0	0	0	1	0	1	1		
ORF28-Multicistronic-Short-novTX_57	NC_001491.2	+	ORF28	Tombacz_et_al	Multicistronic-Short			NA		***	6		48532-51693				0	0	0	0	1	4	1	0	1	7	4		
ORF28-ORF27-ORF26-ORF25-CX-Canonic	NC_001491.2	-	ORF27	Torma_et_al	Multicistronic			NA					46895-50913				0	0	0	0	5	9	2	2	3	21	5		
ORF28-ORF29-PC-Canonic	NC_001491.2	+	ORF28	Torma_et_al	Multicistronic			NA		***	8	8237.944903407	48421-51693				0	0	2	2	27	64	3	13	7	118	7		
ORF28-ORF29-PC-Short	NC_001491.2	+	ORF28	Torma_et_al	Multicistronic-Short			NA		***	6	2831.970866237	48558-51693				0	0	0	0	4	9	0	2	2	17	4		
ORF29	NC_001491.2	+	ORF29	Torma_et_al	Monocistronic	mRNA.TU.12-TSS.1563.1-0--2.01::+	50585	distance <= 25	12	***	9	109215.339810069	50573-51693				0	4	29	580	1525	2557	673	753	413	6534	8		
ORF29-ORF28-ORF27-ORF26-ORF25-CX-Canonic	NC_001491.2	-	ORF27	Torma_et_al	Multicistronic	mRNA.TU.19-TSS.2206.1-0--2.16::-	52252	distance <= 25	7	***	5	1595.371420078	46895-52259				0	0	0	0	0	0	0	0	1	1	1		
ORF29-ORF30-ORF31-CX-Canonic	NC_001491.2	+	ORF29	Torma_et_al	Multicistronic	mRNA.TU.12-TSS.1563.1-0--2.01::+	50585	distance <= 25	12	***	9	109215.339810069	50573-59182				0	0	0	0	0	0	1	5	3	9	3		
ORF29-Putative mRNA-novTX_61	NC_001491.2	+	ORF29	Tombacz_et_al	Putative mRNA	mRNA.TU.12-TSS.1585.1-0--0.29::+	50743	distance <= 25	5	**	4		50748-51693				0	0	0	0	1	2	2	0	0	5	3	0.0166659238543048	
ORF29-Putative mRNA-novTX_63	NC_001491.2	+	ORF29	Tombacz_et_al	Putative mRNA	mRNA.TU.12-TSS.1652.1-0--0.48::+	51144	distance <= 25	4	***	6		51148-51693				0	0	0	3	1	1	4	1	0	10	5	0.0166659238543048	
ORF3	NC_001491.2	+	ORF3	Torma_et_al	Monocistronic	mRNA.TU.2-TSS.87.1-0--16.24::+	2682	distance <= 25	13	***	9	46784.823665342	2669-3632				0	1	19	201	432	762	214	152	132	1913	8		
ORF3-Monocistronic-Long-novTX_37	NC_001491.2	+	ORF3	Tombacz_et_al	Monocistronic-Long	mRNA.TU.2-TSS.87.1-0--16.24::+	2682	distance <= 50	32	***	9		2650-3632				0	0	0	1	1	3	0	1	0	6	4		
ORF3-Monocistronic-Short-novTX_39	NC_001491.2	+	ORF3	Tombacz_et_al	Monocistronic-Short	mRNA.TU.2-TSS.92.1-0--1.9::+	2701	distance <= 25	1	***	9		2702-3632				0	0	0	0	1	3	2	0	2	8	4		
ORF3-ORF2-CX-Canonic	NC_001491.2	-	ORF2	Torma_et_al	Multicistronic	mRNA.TU.2-TSS.168.1-0--0.59::-	4235	distance <= 25	9	***	9	9681.604499373	1918-4226				0	0	0	2	4	12	7	4	4	33	6		
ORF3-ORF2-CX-Short	NC_001491.2	-	ORF2	Torma_et_al	Multicistronic-Short	mRNA.TU.2-TSS.157.1-0--1.38::-	4169	distance <= 25	2	**	3	755.195961699	1918-4171				0	0	0	0	1	2	2	0	0	5	3		
ORF3-ORF4-ORF5-ORF6-ORF7-ORF8-ORF9-ORF10-ORF11-CX-Canonic	NC_001491.2	+	ORF3	Torma_et_al	Multicistronic	mRNA.TU.2-TSS.87.1-0--16.24::+	2682	distance <= 25	13	***	9	46784.823665342	2669-13520				0	0	0	0	1	0	0	0	0	1	1		
ORF3-Putative mRNA-novTX_45	NC_001491.2	+	ORF3	Tombacz_et_al	Putative mRNA	mRNA.TU.2-TSS.120.1-0--0.84::+	3051	distance <= 25	8	**	4		3043-3632				0	0	0	1	1	0	0	0	1	3	3	0.0434782608695652	
ORF30	NC_001491.2	-	ORF30	Torma_et_al	Monocistronic			NA		***	9	18254.315869814	51486-55192				0	82	56	10	14	29	2	3	7	203	8		
ORF30-L1	NC_001491.2	-	ORF30	Torma_et_al	Monocistronic-Long			NA		*	2	466.852265231	51486-55708				0	0	0	0	3	8	2	9	6	28	5		
ORF30-Monocistronic-Long-novTX_437	NC_001491.2	-	ORF30	Tombacz_et_al	Monocistronic-Long			NA		***	9		51486-55203				0	1	0	2	0	1	0	0	1	5	4		
ORF30-ORF31-ORF32-ORF33	NC_001491.2	-		Torma_et_al	Multicistronic			NA					51567-62822																
ORF30-Putative mRNA-novTX_433	NC_001491.2	-	ORF30	Tombacz_et_al	Putative mRNA	mRNA.TU.19-TSS.2224.1-0--0.49::-	52393	distance <= 25	10	**	4		51486-52403				0	0	0	1	2	0	1	0	4	8	4	0.0726711560044893	TRUE
ORF30-Putative mRNA-novTX_434	NC_001491.2	-	ORF30	Tombacz_et_al	Putative mRNA			NA		***	9		51486-55172				0	2	2	0	0	0	0	0	0	4	2	0.0726711560044893	
ORF30.5	NC_001491.2	-	ORF30	Torma_et_al	Putative mRNA	mRNA.TU.19-TSS.2165.1-0--0.98::-	51947	distance <= 25	3	**	4	1257.134506731	51486-51950				0	1	0	3	2	20	14	8	10	58	7	0.0726711560044893	
ORF30.6	NC_001491.2	-	ORF30	Torma_et_al	Putative mRNA	mRNA.TU.19-TSS.2206.1-0--2.16::-	52252	distance <= 25	7	***	5	1595.371420078	51486-52259				0	0	0	4	9	43	24	31	48	159	6	0.0726711560044893	
ORF31	NC_001491.2	+	ORF31	Torma_et_al	Monocistronic			NA		***	9	296182.372347441	55322-59182				0	305	489	249	1091	2068	146	375	263	4986	8		
ORF31-L1	NC_001491.2	+	ORF31	Torma_et_al	Monocistronic-Long			NA		***	6	1621.576271431	55046-59182				0	0	0	0	2	20	7	12	8	49	5		
ORF31-Monocistronic-Long-novTX_66	NC_001491.2	+	ORF31	Tombacz_et_al	Monocistronic-Long			NA		***	7		55255-59182				0	0	0	1	0	2	0	0	2	5	3		
ORF31-Monocistronic-Short-novTX_68	NC_001491.2	+	ORF31	Tombacz_et_al	Monocistronic-Short			NA		***	9		55342-59182				0	0	0	0	0	0	0	1	3	4	2		
ORF31-ORF30-CX-Canonic	NC_001491.2	-	ORF30	Torma_et_al	Multicistronic			NA					51486-59824				0	0	0	0	0	1	0	0	0	1	1		
ORF31-ORF32-ORF33-ORF34-PC-Canonic	NC_001491.2	+	ORF31	Torma_et_al	Multicistronic			NA					52456-65086				0	0	0	0	0	0	0	1	0	1	1		
ORF31-Putative mRNA-novTX_247	NC_001491.2	+	ORF31	Tombacz_et_al	Putative mRNA			NA		**	4		56316-59182				0	0	1	1	2	4	2	1	0	11	6	0.00395719032561675	
ORF31-Putative mRNA-novTX_73	NC_001491.2	+	ORF31	Tombacz_et_al	Putative mRNA			NA		**	4		56326-59182				0	0	0	3	1	3	1	0	1	9	5	0.00395719032561675	
ORF31-Putative mRNA-novTX_76	NC_001491.2	+	ORF31	Tombacz_et_al	Putative mRNA			NA		**	4		56757-59182				0	0	0	1	0	1	1	0	2	5	4	0.00395719032561675	
ORF31-Putative mRNA-novTX_78	NC_001491.2	+	ORF31	Tombacz_et_al	Putative mRNA	mRNA.TU.15-TSS.1781.1-0--0.19::+	58021	distance <= 25	2	**	4		58023-59182				0	0	2	0	0	1	0	1	0	4	3	0.00395719032561675	
ORF31-Putative mRNA-novTX_79	NC_001491.2	+	ORF31	Tombacz_et_al	Putative mRNA	mRNA.TU.15-TSS.1867.1-0--2.43::+	58486	distance <= 25	1	**	5		58487-59182				0	0	0	3	2	2	0	0	0	7	3	0.00395719032561675	
ORF31-Putative mRNA-novTX_81	NC_001491.2	+	ORF31	Tombacz_et_al	Putative mRNA	mRNA.TU.15-TSS.1904.1-0--1.12::+	58634	distance <= 25	1	**	3		58635-59182				0	0	0	2	1	0	0	0	0	3	2	0.00395719032561675	
ORF32-ORF33-ORF34-PC-Canonic	NC_001491.2	+	ORF32	Torma_et_al	Multicistronic			NA		***	9	19717.570999825	59209-65093				0	0	1	0	5	12	1	2	1	22	6		
ORF32-ORF33-PC-Canonic	NC_001491.2	+	ORF32	Torma_et_al	Multicistronic			NA		***	9	19717.570999825	59209-64402				0	0	0	0	8	3	0	0	0	11	2		
ORF33	NC_001491.2	+	ORF33	Torma_et_al	Monocistronic			NA		***	9	175245.507895459	61312-64402				0	1	9	11	115	302	53	178	127	796	8		
ORF33-L1	NC_001491.2	+	ORF33	Torma_et_al	Monocistronic-Long			NA					59993-64402				0	0	0	0	2	11	0	1	2	16	4		
ORF33-L2	NC_001491.2	+	ORF33	Torma_et_al	Monocistronic-Long			NA		***	5	1715.138827069	60473-64402				0	0	0	0	1	4	0	0	1	6	3		
ORF33-ORF34-ORF35-CX-Canonic	NC_001491.2	+	ORF33	Torma_et_al	Multicistronic			NA		***	9	175245.507895459	61312-67178				0	0	0	0	1	0	0	0	0	1	1		
ORF33-ORF34-PC-Canonic	NC_001491.2	+	ORF33	Torma_et_al	Multicistronic			NA		***	9	175245.507895459	61312-65093				0	0	0	3	146	664	98	503	377	1791	6		
ORF33-ORF34-PC-Long	NC_001491.2	+	ORF33	Torma_et_al	Multicistronic-Long			NA		***	5	3064.399227314	61255-65093				0	0	0	0	4	17	2	10	6	39	5		
ORF33-ORF34-PC-Long-1	NC_001491.2	+	ORF33	Torma_et_al	Multicistronic-Long			NA					59993-65093				0	0	0	0	6	18	4	14	8	50	5		
ORF33-ORF34-PC-Long-2	NC_001491.2	+	ORF33	Torma_et_al	Multicistronic-Long			NA		***	5	1715.138827069	60473-65093				0	0	0	1	3	13	1	3	3	24	6		
ORF34	NC_001491.2	+	ORF34	Torma_et_al	Monocistronic	mRNA.TU.17-TSS.2204.1-0--0.08::+	64490	distance <= 25	2	***	9	678167.34293243	64488-65093				0	480	463	1962	4129	7285	2511	1630	2010	20470	8		
ORF34-L1	NC_001491.2	+	ORF34	Torma_et_al	Monocistronic-Long			NA					61608-65093				0	0	0	0	1	5	4	4	4	18	5		
ORF34-Monocistronic-Long-novTX_250	NC_001491.2	+	ORF34	Tombacz_et_al	Monocistronic-Long	mRNA.TU.16-TSS.2042.1-0--1.25::+	63530	distance <= 25	1	**	3		63531-65093				0	0	0	0	0	1	1	0	3	5	3		
ORF34-Monocistronic-Long-novTX_85	NC_001491.2	+	ORF34	Tombacz_et_al	Monocistronic-Long	mRNA.TU.16-TSS.2001.1-0--0.55::+	62866	distance <= 25	9	***	6		62857-65093				0	0	0	0	1	1	0	0	1	3	3		
ORF34-Monocistronic-Short-novTX_352	NC_001491.2	+	ORF34	Tombacz_et_al	Monocistronic-Short	mRNA.TU.17-TSS.2205.1-0--19.09::+	64500	distance <= 25	0	***	9		64500-65093				0	0	0	1	2	2	0	2	1	8	5		
ORF34-ORF35.5-ORF35-CX-Canonic	NC_001491.2	+	ORF34	Torma_et_al	Multicistronic	mRNA.TU.17-TSS.2204.1-0--0.08::+	64490	distance <= 25	2	***	9	678167.34293243	64488-67175				0	0	0	1	4	5	0	0	0	10	3		
ORF34-ORF35.5-ORF35-ORF36-ORF37-ORF38-CX-Canonic	NC_001491.2	+	ORF34	Torma_et_al	Multicistronic	mRNA.TU.17-TSS.2204.1-0--0.08::+	64490	distance <= 25	2	***	9	678167.34293243	64488-71034				0	0	0	0	4	1	0	0	1	6	3		
ORF34-Putative mRNA-novTX_309	NC_001491.2	+	ORF34	Tombacz_et_al	Putative mRNA	mRNA.TU.17-TSS.2229.1-0--0.13::+	64629	distance <= 25	0	***	9		64629-65093				0	0	0	7	4	5	12	0	2	30	5	0.00258712988514282	
ORF34-Putative mRNA-novTX_341	NC_001491.2	+	ORF34	Tombacz_et_al	Putative mRNA	mRNA.TU.17-TSS.2219.1-0--0.62::+	64578	distance <= 25	2	**	4		64580-65093				0	0	0	4	2	3	4	2	3	18	6	0.00258712988514282	
ORF34-Putative mRNA-novTX_345	NC_001491.2	+	ORF34	Tombacz_et_al	Putative mRNA	mRNA.TU.17-TSS.2253.1-0--0.13::+	64738	distance <= 25	2	***	6		64740-65093				0	0	0	4	0	1	4	0	1	10	4	0.00258712988514282	
ORF35	NC_001491.2	-	ORF35	Torma_et_al	Monocistronic	mRNA.TU.25-TSS.2633.1-0--0.22::-	68271	distance <= 25	2				65089-68273				0	0	0	0	0	3	1	8	8	20	4		
ORF35-L1	NC_001491.2	-	ORF35	Torma_et_al	Monocistronic-Long			NA		***	5	1320.677199974	65089-68860				0	0	0	0	0	4	4	4	6	18	4		
ORF35-Monocistronic-Long-novTX_699	NC_001491.2	-	ORF35	Tombacz_et_al	Monocistronic-Long	mRNA.TU.23-TSS.2493.1-0--0.06::-	66532	distance <= 25	11	**	4		65089-66521				0	0	0	0	0	5	1	2	3	11	4		
