seqnames	strand	gene	score	support	start	end	width	thick.start	thick.end	thick.width	thick.names	clusterType	orientation	prime5	prime3	TSS.win.start	TSS.win.end	CAGE_significance
NC_001491.2	+	CAGE_cluster_482	105.163529288	1	66825	66825	1	66825	66825	1	NC_001491.2:66825-66825;+	TSS	1	66825	66825	66825	66825	*
NC_001491.2	+	CAGE_cluster_483	197.745699031	1	66944	66944	1	66944	66944	1	NC_001491.2:66944-66944;+	TSS	1	66944	66944	66944	66944	*
NC_001491.2	+	CAGE_cluster_484	197.745699031	1	67914	67914	1	67914	67914	1	NC_001491.2:67914-67914;+	TSS	1	67914	67914	67914	67914	*
NC_001491.2	+	CAGE_cluster_485	111.819300011	1	68670	68670	1	68670	68670	1	NC_001491.2:68670-68670;+	TSS	1	68670	68670	68670	68670	*
NC_001491.2	+	CAGE_cluster_486	1552.07836209	6	69016	69019	4	69019	69019	1	NC_001491.2:69016-69019;+	TSS	1	69016	69019	69016	69019	***
NC_001491.2	+	CAGE_cluster_487	466.852265231	2	69117	69122	6	69122	69122	1	NC_001491.2:69117-69122;+	TSS	1	69117	69122	69117	69122	*
NC_001491.2	+	CAGE_cluster_488	105.163529288	1	69147	69147	1	69147	69147	1	NC_001491.2:69147-69147;+	TSS	1	69147	69147	69147	69147	*
NC_001491.2	+	CAGE_cluster_489	105.163529288	1	69217	69217	1	69217	69217	1	NC_001491.2:69217-69217;+	TSS	1	69217	69217	69217	69217	*
NC_001491.2	+	CAGE_cluster_49	544.365813827	1	9888	9888	1	9888	9888	1	NC_001491.2:9888-9888;+	TSS	1	9888	9888	9888	9888	*
NC_001491.2	+	CAGE_cluster_490	197.745699031	1	69266	69266	1	69266	69266	1	NC_001491.2:69266-69266;+	TSS	1	69266	69266	69266	69266	*
NC_001491.2	+	CAGE_cluster_491	762.776506484	1	69298	69298	1	69298	69298	1	NC_001491.2:69298-69298;+	TSS	1	69298	69298	69298	69298	*
NC_001491.2	+	CAGE_cluster_492	1846.468861858	6	69602	69631	30	69631	69631	1	NC_001491.2:69602-69631;+	TSS	1	69602	69631	69602	69631	***
NC_001491.2	+	CAGE_cluster_493	260.58783765	2	69719	69728	10	69719	69719	1	NC_001491.2:69719-69728;+	TSS	1	69719	69728	69719	69728	*
NC_001491.2	+	CAGE_cluster_494	16593.418453375	9	69750	69756	7	69754	69754	1	NC_001491.2:69750-69756;+	TSS	1	69750	69756	69750	69756	***
NC_001491.2	+	CAGE_cluster_495	47409.336119868	9	69778	69815	38	69780	69780	1	NC_001491.2:69778-69815;+	TSS	1	69778	69815	69778	69815	***
NC_001491.2	+	CAGE_cluster_496	111.819300011	1	69838	69838	1	69838	69838	1	NC_001491.2:69838-69838;+	TSS	1	69838	69838	69838	69838	*
NC_001491.2	+	CAGE_cluster_497	111.819300011	1	69875	69875	1	69875	69875	1	NC_001491.2:69875-69875;+	TSS	1	69875	69875	69875	69875	*
NC_001491.2	+	CAGE_cluster_498	269.1065662	1	69901	69901	1	69901	69901	1	NC_001491.2:69901-69901;+	TSS	1	69901	69901	69901	69901	*
NC_001491.2	+	CAGE_cluster_499	353.170007393	2	69934	69941	8	69941	69941	1	NC_001491.2:69934-69941;+	TSS	1	69934	69941	69934	69941	*
NC_001491.2	+	CAGE_cluster_5	46113.869491894	9	1249	1257	9	1252	1252	1	NC_001491.2:1249-1257;+	TSS	1	1249	1257	1249	1257	***
NC_001491.2	+	CAGE_cluster_50	23283.930695339	9	10049	10103	55	10080	10080	1	NC_001491.2:10049-10103;+	TSS	1	10049	10103	10049	10103	***
NC_001491.2	+	CAGE_cluster_500	197.745699031	1	69970	69970	1	69970	69970	1	NC_001491.2:69970-69970;+	TSS	1	69970	69970	69970	69970	*
NC_001491.2	+	CAGE_cluster_501	353.170007393	2	70006	70006	1	70006	70006	1	NC_001491.2:70006-70006;+	TSS	1	70006	70006	70006	70006	*
NC_001491.2	+	CAGE_cluster_502	197.745699031	1	70104	70104	1	70104	70104	1	NC_001491.2:70104-70104;+	TSS	1	70104	70104	70104	70104	*
NC_001491.2	+	CAGE_cluster_503	197.745699031	1	70166	70166	1	70166	70166	1	NC_001491.2:70166-70166;+	TSS	1	70166	70166	70166	70166	*
NC_001491.2	+	CAGE_cluster_504	216.982829299	2	70211	70211	1	70211	70211	1	NC_001491.2:70211-70211;+	TSS	1	70211	70211	70211	70211	*
NC_001491.2	+	CAGE_cluster_505	853.930812869	3	70249	70272	24	70249	70249	1	NC_001491.2:70249-70272;+	TSS	1	70249	70272	70249	70272	***
NC_001491.2	+	CAGE_cluster_506	197.745699031	1	70618	70618	1	70618	70618	1	NC_001491.2:70618-70618;+	TSS	1	70618	70618	70618	70618	*
NC_001491.2	+	CAGE_cluster_507	1987.459501051	5	70669	70675	7	70669	70669	1	NC_001491.2:70669-70675;+	TSS	1	70669	70675	70669	70675	**
NC_001491.2	+	CAGE_cluster_508	155.424308362	1	70861	70861	1	70861	70861	1	NC_001491.2:70861-70861;+	TSS	1	70861	70861	70861	70861	*
NC_001491.2	+	CAGE_cluster_509	3675.318804489	7	71038	71040	3	71038	71038	1	NC_001491.2:71038-71040;+	TSS	1	71038	71040	71038	71040	***
NC_001491.2	+	CAGE_cluster_51	111.819300011	1	10208	10208	1	10208	10208	1	NC_001491.2:10208-10208;+	TSS	1	10208	10208	10208	10208	*
NC_001491.2	+	CAGE_cluster_510	28089.55076049	9	71118	71124	7	71119	71119	1	NC_001491.2:71118-71124;+	TSS	1	71118	71124	71118	71124	***
NC_001491.2	+	CAGE_cluster_511	453.514739229	1	71192	71192	1	71192	71192	1	NC_001491.2:71192-71192;+	TSS	1	71192	71192	71192	71192	*
NC_001491.2	+	CAGE_cluster_512	302.909228319	2	71342	71355	14	71342	71342	1	NC_001491.2:71342-71355;+	TSS	1	71342	71355	71342	71355	*
NC_001491.2	+	CAGE_cluster_513	558.678268517	2	71426	71444	19	71444	71444	1	NC_001491.2:71426-71444;+	TSS	1	71426	71444	71426	71444	*
NC_001491.2	+	CAGE_cluster_514	105.163529288	1	71596	71596	1	71596	71596	1	NC_001491.2:71596-71596;+	TSS	1	71596	71596	71596	71596	*
NC_001491.2	+	CAGE_cluster_515	216.982829299	2	71637	71637	1	71637	71637	1	NC_001491.2:71637-71637;+	TSS	1	71637	71637	71637	71637	*
NC_001491.2	+	CAGE_cluster_516	155.424308362	1	71719	71719	1	71719	71719	1	NC_001491.2:71719-71719;+	TSS	1	71719	71719	71719	71719	*
NC_001491.2	+	CAGE_cluster_517	197.745699031	1	71771	71771	1	71771	71771	1	NC_001491.2:71771-71771;+	TSS	1	71771	71771	71771	71771	*
NC_001491.2	+	CAGE_cluster_518	374.270095488	2	71867	71870	4	71867	71867	1	NC_001491.2:71867-71870;+	TSS	1	71867	71870	71867	71870	*
NC_001491.2	+	CAGE_cluster_519	197.745699031	1	71986	71986	1	71986	71986	1	NC_001491.2:71986-71986;+	TSS	1	71986	71986	71986	71986	*
NC_001491.2	+	CAGE_cluster_52	699.790122189	2	10365	10380	16	10380	10380	1	NC_001491.2:10365-10380;+	TSS	1	10365	10380	10365	10380	*
NC_001491.2	+	CAGE_cluster_520	871.808074607	3	72054	72061	8	72055	72055	1	NC_001491.2:72054-72061;+	TSS	1	72054	72061	72054	72061	***
NC_001491.2	+	CAGE_cluster_521	918.200814846	2	72209	72222	14	72209	72209	1	NC_001491.2:72209-72222;+	TSS	1	72209	72222	72209	72222	*
NC_001491.2	+	CAGE_cluster_522	1184.464037324	4	72818	72826	9	72820	72820	1	NC_001491.2:72818-72826;+	TSS	1	72818	72826	72818	72826	**
NC_001491.2	+	CAGE_cluster_523	105.163529288	1	72881	72881	1	72881	72881	1	NC_001491.2:72881-72881;+	TSS	1	72881	72881	72881	72881	*
NC_001491.2	+	CAGE_cluster_524	197.745699031	1	72989	72989	1	72989	72989	1	NC_001491.2:72989-72989;+	TSS	1	72989	72989	72989	72989	*
NC_001491.2	+	CAGE_cluster_525	650.032432411	2	73018	73025	8	73018	73018	1	NC_001491.2:73018-73025;+	TSS	1	73018	73025	73018	73025	*
NC_001491.2	+	CAGE_cluster_526	111.819300011	1	73052	73052	1	73052	73052	1	NC_001491.2:73052-73052;+	TSS	1	73052	73052	73052	73052	*
NC_001491.2	+	CAGE_cluster_527	111.819300011	1	73086	73086	1	73086	73086	1	NC_001491.2:73086-73086;+	TSS	1	73086	73086	73086	73086	*
NC_001491.2	+	CAGE_cluster_528	544.365813827	1	73568	73568	1	73568	73568	1	NC_001491.2:73568-73568;+	TSS	1	73568	73568	73568	73568	*
NC_001491.2	+	CAGE_cluster_529	197.745699031	1	74241	74241	1	74241	74241	1	NC_001491.2:74241-74241;+	TSS	1	74241	74241	74241	74241	*
NC_001491.2	+	CAGE_cluster_53	1095.281520251	3	10444	10480	37	10453	10453	1	NC_001491.2:10444-10480;+	TSS	1	10444	10480	10444	10480	***
NC_001491.2	+	CAGE_cluster_530	2322.620384025	6	74720	74726	7	74721	74721	1	NC_001491.2:74720-74726;+	TSS	1	74720	74726	74720	74726	***
NC_001491.2	+	CAGE_cluster_531	267.243608373	2	74995	74998	4	74995	74995	1	NC_001491.2:74995-74998;+	TSS	1	74995	74998	74995	74998	*
NC_001491.2	+	CAGE_cluster_532	155.424308362	1	75068	75068	1	75068	75068	1	NC_001491.2:75068-75068;+	TSS	1	75068	75068	75068	75068	*
NC_001491.2	+	CAGE_cluster_533	544.365813827	1	75195	75195	1	75195	75195	1	NC_001491.2:75195-75195;+	TSS	1	75195	75195	75195	75195	*
NC_001491.2	+	CAGE_cluster_534	269.1065662	1	75280	75280	1	75280	75280	1	NC_001491.2:75280-75280;+	TSS	1	75280	75280	75280	75280	*
NC_001491.2	+	CAGE_cluster_535	155.424308362	1	75648	75648	1	75648	75648	1	NC_001491.2:75648-75648;+	TSS	1	75648	75648	75648	75648	*
NC_001491.2	+	CAGE_cluster_536	105.163529288	1	75764	75764	1	75764	75764	1	NC_001491.2:75764-75764;+	TSS	1	75764	75764	75764	75764	*
NC_001491.2	+	CAGE_cluster_537	395.491398062	1	75867	75867	1	75867	75867	1	NC_001491.2:75867-75867;+	TSS	1	75867	75867	75867	75867	*
NC_001491.2	+	CAGE_cluster_538	197.745699031	1	75944	75944	1	75944	75944	1	NC_001491.2:75944-75944;+	TSS	1	75944	75944	75944	75944	*
NC_001491.2	+	CAGE_cluster_539	105.163529288	1	75970	75970	1	75970	75970	1	NC_001491.2:75970-75970;+	TSS	1	75970	75970	75970	75970	*
NC_001491.2	+	CAGE_cluster_54	853.930812869	3	10569	10573	5	10569	10569	1	NC_001491.2:10569-10573;+	TSS	1	10569	10573	10569	10573	***
NC_001491.2	+	CAGE_cluster_540	155.424308362	1	76168	76168	1	76168	76168	1	NC_001491.2:76168-76168;+	TSS	1	76168	76168	76168	76168	*
NC_001491.2	+	CAGE_cluster_541	8719.130416886	8	76719	76728	10	76727	76727	1	NC_001491.2:76719-76728;+	TSS	1	76719	76728	76719	76728	***
NC_001491.2	+	CAGE_cluster_542	1621.273039645	5	77303	77305	3	77303	77303	1	NC_001491.2:77303-77305;+	TSS	1	77303	77305	77303	77305	**
NC_001491.2	+	CAGE_cluster_543	47023.292115728	9	77356	77372	17	77362	77362	1	NC_001491.2:77356-77372;+	TSS	1	77356	77372	77356	77372	***
NC_001491.2	+	CAGE_cluster_544	1487.373265644	5	77395	77399	5	77399	77399	1	NC_001491.2:77395-77399;+	TSS	1	77395	77399	77395	77399	**
NC_001491.2	+	CAGE_cluster_545	395.491398062	2	77429	77431	3	77429	77429	1	NC_001491.2:77429-77431;+	TSS	1	77429	77431	77429	77431	*
NC_001491.2	+	CAGE_cluster_546	105.163529288	1	77477	77477	1	77477	77477	1	NC_001491.2:77477-77477;+	TSS	1	77477	77477	77477	77477	*
NC_001491.2	+	CAGE_cluster_547	2081.460815577	5	77505	77507	3	77505	77505	1	NC_001491.2:77505-77507;+	TSS	1	77505	77507	77505	77507	**
NC_001491.2	+	CAGE_cluster_548	157052.196791096	9	77588	77665	78	77591	77591	1	NC_001491.2:77588-77665;+	TSS	1	77588	77665	77588	77665	***
NC_001491.2	+	CAGE_cluster_549	328.80212931	2	77717	77717	1	77717	77717	1	NC_001491.2:77717-77717;+	TSS	1	77717	77717	77717	77717	*
NC_001491.2	+	CAGE_cluster_55	197.745699031	1	10720	10720	1	10720	10720	1	NC_001491.2:10720-10720;+	TSS	1	10720	10720	10720	10720	*
NC_001491.2	+	CAGE_cluster_550	519.892057618	3	78012	78015	4	78015	78015	1	NC_001491.2:78012-78015;+	TSS	1	78012	78015	78012	78015	**
NC_001491.2	+	CAGE_cluster_551	578.671565242	3	78084	78104	21	78086	78086	1	NC_001491.2:78084-78104;+	TSS	1	78084	78104	78084	78104	**
NC_001491.2	+	CAGE_cluster_552	756.423967548	3	78129	78149	21	78129	78129	1	NC_001491.2:78129-78149;+	TSS	1	78129	78149	78129	78149	**
NC_001491.2	+	CAGE_cluster_553	734.095873604	4	78170	78176	7	78176	78176	1	NC_001491.2:78170-78176;+	TSS	1	78170	78176	78170	78176	**
NC_001491.2	+	CAGE_cluster_554	155.424308362	1	78230	78230	1	78230	78230	1	NC_001491.2:78230-78230;+	TSS	1	78230	78230	78230	78230	*
NC_001491.2	+	CAGE_cluster_555	508.594315755	2	78255	78264	10	78264	78264	1	NC_001491.2:78255-78264;+	TSS	1	78255	78264	78255	78264	*
NC_001491.2	+	CAGE_cluster_556	1364.388086451	4	78317	78333	17	78319	78319	1	NC_001491.2:78317-78333;+	TSS	1	78317	78333	78317	78333	**
NC_001491.2	+	CAGE_cluster_557	111.819300011	1	78372	78372	1	78372	78372	1	NC_001491.2:78372-78372;+	TSS	1	78372	78372	78372	78372	*
NC_001491.2	+	CAGE_cluster_558	105.163529288	1	78420	78420	1	78420	78420	1	NC_001491.2:78420-78420;+	TSS	1	78420	78420	78420	78420	*
NC_001491.2	+	CAGE_cluster_559	513.236286895	2	78442	78480	39	78465	78465	1	NC_001491.2:78442-78480;+	TSS	1	78442	78480	78442	78480	*
NC_001491.2	+	CAGE_cluster_56	1720.510980111	5	10875	10880	6	10875	10875	1	NC_001491.2:10875-10880;+	TSS	1	10875	10880	10875	10880	**
NC_001491.2	+	CAGE_cluster_560	1411.249212855	5	78510	78537	28	78526	78526	1	NC_001491.2:78510-78537;+	TSS	1	78510	78537	78510	78537	**
NC_001491.2	+	CAGE_cluster_561	1621.829348592	5	78568	78588	21	78588	78588	1	NC_001491.2:78568-78588;+	TSS	1	78568	78588	78568	78588	**
NC_001491.2	+	CAGE_cluster_562	197.745699031	1	78621	78621	1	78621	78621	1	NC_001491.2:78621-78621;+	TSS	1	78621	78621	78621	78621	*
NC_001491.2	+	CAGE_cluster_563	464.989307404	3	78667	78688	22	78688	78688	1	NC_001491.2:78667-78688;+	TSS	1	78667	78688	78667	78688	**
NC_001491.2	+	CAGE_cluster_564	2651.068935065	5	78712	78713	2	78713	78713	1	NC_001491.2:78712-78713;+	TSS	1	78712	78713	78712	78713	**
NC_001491.2	+	CAGE_cluster_565	267.243608373	2	78735	78740	6	78740	78740	1	NC_001491.2:78735-78740;+	TSS	1	78735	78740	78735	78740	*
NC_001491.2	+	CAGE_cluster_566	4110.76631565	8	78777	78817	41	78811	78811	1	NC_001491.2:78777-78817;+	TSS	1	78777	78817	78777	78817	***
NC_001491.2	+	CAGE_cluster_567	1928.975080859	5	78900	78969	70	78940	78940	1	NC_001491.2:78900-78969;+	TSS	1	78900	78969	78900	78969	**
NC_001491.2	+	CAGE_cluster_568	788.998623818	4	79055	79106	52	79106	79106	1	NC_001491.2:79055-79106;+	TSS	1	79055	79106	79055	79106	**
NC_001491.2	+	CAGE_cluster_569	2180.507617109	7	79129	79164	36	79164	79164	1	NC_001491.2:79129-79164;+	TSS	1	79129	79164	79129	79164	***
NC_001491.2	+	CAGE_cluster_57	105.163529288	1	10907	10907	1	10907	10907	1	NC_001491.2:10907-10907;+	TSS	1	10907	10907	10907	10907	*
NC_001491.2	+	CAGE_cluster_570	155.424308362	1	79186	79186	1	79186	79186	1	NC_001491.2:79186-79186;+	TSS	1	79186	79186	79186	79186	*
NC_001491.2	+	CAGE_cluster_571	216.982829299	2	79213	79214	2	79214	79214	1	NC_001491.2:79213-79214;+	TSS	1	79213	79214	79213	79214	*
NC_001491.2	+	CAGE_cluster_572	565.33403924	2	79235	79244	10	79244	79244	1	NC_001491.2:79235-79244;+	TSS	1	79235	79244	79235	79244	*
NC_001491.2	+	CAGE_cluster_573	873.167943137	3	79270	79271	2	79270	79270	1	NC_001491.2:79270-79271;+	TSS	1	79270	79271	79270	79271	***
NC_001491.2	+	CAGE_cluster_574	216.982829299	2	79306	79322	17	79306	79306	1	NC_001491.2:79306-79322;+	TSS	1	79306	79322	79306	79322	*
NC_001491.2	+	CAGE_cluster_575	302.909228319	2	79398	79403	6	79403	79403	1	NC_001491.2:79398-79403;+	TSS	1	79398	79403	79398	79403	*
NC_001491.2	+	CAGE_cluster_576	105.163529288	1	79438	79438	1	79438	79438	1	NC_001491.2:79438-79438;+	TSS	1	79438	79438	79438	79438	*
NC_001491.2	+	CAGE_cluster_577	878.045613791	3	79466	79476	11	79476	79476	1	NC_001491.2:79466-79476;+	TSS	1	79466	79476	79466	79476	***
NC_001491.2	+	CAGE_cluster_578	477.570666949	3	79530	79538	9	79538	79538	1	NC_001491.2:79530-79538;+	TSS	1	79530	79538	79530	79538	**
NC_001491.2	+	CAGE_cluster_579	608.939047591	2	79559	79575	17	79575	79575	1	NC_001491.2:79559-79575;+	TSS	1	79559	79575	79559	79575	*
NC_001491.2	+	CAGE_cluster_58	111.819300011	1	10934	10934	1	10934	10934	1	NC_001491.2:10934-10934;+	TSS	1	10934	10934	10934	10934	*
NC_001491.2	+	CAGE_cluster_580	1503.278027009	6	79605	79686	82	79686	79686	1	NC_001491.2:79605-79686;+	TSS	1	79605	79686	79605	79686	***
NC_001491.2	+	CAGE_cluster_581	4838.967775986	8	79723	79748	26	79748	79748	1	NC_001491.2:79723-79748;+	TSS	1	79723	79748	79723	79748	***
NC_001491.2	+	CAGE_cluster_582	755.195961699	3	79806	79818	13	79806	79806	1	NC_001491.2:79806-79818;+	TSS	1	79806	79818	79806	79818	**
NC_001491.2	+	CAGE_cluster_583	223.638600022	1	79855	79855	1	79855	79855	1	NC_001491.2:79855-79855;+	TSS	1	79855	79855	79855	79855	*
NC_001491.2	+	CAGE_cluster_584	3838.637537626	6	79917	79998	82	79982	79982	1	NC_001491.2:79917-79998;+	TSS	1	79917	79998	79917	79998	***
NC_001491.2	+	CAGE_cluster_585	155.424308362	1	80091	80091	1	80091	80091	1	NC_001491.2:80091-80091;+	TSS	1	80091	80091	80091	80091	*
NC_001491.2	+	CAGE_cluster_586	1292.470910333	4	80191	80203	13	80203	80203	1	NC_001491.2:80191-80203;+	TSS	1	80191	80203	80191	80203	**
NC_001491.2	+	CAGE_cluster_587	1961.105521035	5	80250	80256	7	80256	80256	1	NC_001491.2:80250-80256;+	TSS	1	80250	80256	80250	80256	**
NC_001491.2	+	CAGE_cluster_588	1025.530533748	4	80327	80364	38	80327	80327	1	NC_001491.2:80327-80364;+	TSS	1	80327	80364	80327	80364	**
NC_001491.2	+	CAGE_cluster_589	111.819300011	1	80385	80385	1	80385	80385	1	NC_001491.2:80385-80385;+	TSS	1	80385	80385	80385	80385	*
NC_001491.2	+	CAGE_cluster_59	155.424308362	1	11144	11144	1	11144	11144	1	NC_001491.2:11144-11144;+	TSS	1	11144	11144	11144	11144	*
NC_001491.2	+	CAGE_cluster_590	155.424308362	1	80407	80407	1	80407	80407	1	NC_001491.2:80407-80407;+	TSS	1	80407	80407	80407	80407	*
NC_001491.2	+	CAGE_cluster_591	111.819300011	1	80430	80430	1	80430	80430	1	NC_001491.2:80430-80430;+	TSS	1	80430	80430	80430	80430	*
NC_001491.2	+	CAGE_cluster_592	223.638600022	1	80451	80451	1	80451	80451	1	NC_001491.2:80451-80451;+	TSS	1	80451	80451	80451	80451	*
NC_001491.2	+	CAGE_cluster_593	353.170007393	2	80491	80492	2	80491	80491	1	NC_001491.2:80491-80492;+	TSS	1	80491	80492	80491	80492	*
NC_001491.2	+	CAGE_cluster_594	395.491398062	1	80556	80556	1	80556	80556	1	NC_001491.2:80556-80556;+	TSS	1	80556	80556	80556	80556	*
NC_001491.2	+	CAGE_cluster_595	1271.226576563	3	80615	80645	31	80627	80627	1	NC_001491.2:80615-80645;+	TSS	1	80615	80645	80615	80645	***
NC_001491.2	+	CAGE_cluster_596	1859.332925841	5	80705	80718	14	80705	80705	1	NC_001491.2:80705-80718;+	TSS	1	80705	80718	80705	80718	**
NC_001491.2	+	CAGE_cluster_597	197.745699031	1	80782	80782	1	80782	80782	1	NC_001491.2:80782-80782;+	TSS	1	80782	80782	80782	80782	*
NC_001491.2	+	CAGE_cluster_598	4121.451233816	8	80812	80818	7	80818	80818	1	NC_001491.2:80812-80818;+	TSS	1	80812	80818	80812	80818	***
NC_001491.2	+	CAGE_cluster_599	111.819300011	1	80839	80839	1	80839	80839	1	NC_001491.2:80839-80839;+	TSS	1	80839	80839	80839	80839	*
NC_001491.2	+	CAGE_cluster_6	197.745699031	1	1278	1278	1	1278	1278	1	NC_001491.2:1278-1278;+	TSS	1	1278	1278	1278	1278	*
NC_001491.2	+	CAGE_cluster_60	105.163529288	1	11342	11342	1	11342	11342	1	NC_001491.2:11342-11342;+	TSS	1	11342	11342	11342	11342	*
NC_001491.2	+	CAGE_cluster_600	2389.727884315	6	80950	80967	18	80966	80966	1	NC_001491.2:80950-80967;+	TSS	1	80950	80967	80950	80967	***
NC_001491.2	+	CAGE_cluster_601	1651.342287112	5	80994	81016	23	81010	81010	1	NC_001491.2:80994-81016;+	TSS	1	80994	81016	80994	81016	**
NC_001491.2	+	CAGE_cluster_602	1570.838387617	4	81076	81110	35	81105	81105	1	NC_001491.2:81076-81110;+	TSS	1	81076	81110	81076	81110	**
NC_001491.2	+	CAGE_cluster_603	197.745699031	1	81163	81163	1	81163	81163	1	NC_001491.2:81163-81163;+	TSS	1	81163	81163	81163	81163	*
NC_001491.2	+	CAGE_cluster_604	111.819300011	1	81229	81229	1	81229	81229	1	NC_001491.2:81229-81229;+	TSS	1	81229	81229	81229	81229	*
NC_001491.2	+	CAGE_cluster_605	5283.254318131	8	81290	81334	45	81290	81290	1	NC_001491.2:81290-81334;+	TSS	1	81290	81334	81290	81334	***
NC_001491.2	+	CAGE_cluster_606	105.163529288	1	81438	81438	1	81438	81438	1	NC_001491.2:81438-81438;+	TSS	1	81438	81438	81438	81438	*
NC_001491.2	+	CAGE_cluster_607	706.340014786	3	81498	81513	16	81511	81511	1	NC_001491.2:81498-81513;+	TSS	1	81498	81513	81498	81513	**
NC_001491.2	+	CAGE_cluster_608	1364.135009291	5	81552	81560	9	81560	81560	1	NC_001491.2:81552-81560;+	TSS	1	81552	81560	81552	81560	**
NC_001491.2	+	CAGE_cluster_609	197.745699031	1	81600	81600	1	81600	81600	1	NC_001491.2:81600-81600;+	TSS	1	81600	81600	81600	81600	*
NC_001491.2	+	CAGE_cluster_61	260.58783765	2	11401	11401	1	11401	11401	1	NC_001491.2:11401-11401;+	TSS	1	11401	11401	11401	11401	*
NC_001491.2	+	CAGE_cluster_610	155.424308362	1	81621	81621	1	81621	81621	1	NC_001491.2:81621-81621;+	TSS	1	81621	81621	81621	81621	*
NC_001491.2	+	CAGE_cluster_611	111.819300011	1	81858	81858	1	81858	81858	1	NC_001491.2:81858-81858;+	TSS	1	81858	81858	81858	81858	*
NC_001491.2	+	CAGE_cluster_612	169952.732015682	9	81892	81934	43	81902	81902	1	NC_001491.2:81892-81934;+	TSS	1	81892	81934	81892	81934	***
NC_001491.2	+	CAGE_cluster_613	544.365813827	1	81959	81959	1	81959	81959	1	NC_001491.2:81959-81959;+	TSS	1	81959	81959	81959	81959	*
NC_001491.2	+	CAGE_cluster_614	197.745699031	1	82015	82015	1	82015	82015	1	NC_001491.2:82015-82015;+	TSS	1	82015	82015	82015	82015	*
NC_001491.2	+	CAGE_cluster_615	2036.557876922	6	82049	82060	12	82049	82049	1	NC_001491.2:82049-82060;+	TSS	1	82049	82060	82049	82060	***
NC_001491.2	+	CAGE_cluster_616	302.909228319	2	82092	82101	10	82092	82092	1	NC_001491.2:82092-82101;+	TSS	1	82092	82101	82092	82101	*
NC_001491.2	+	CAGE_cluster_617	155.424308362	1	82140	82140	1	82140	82140	1	NC_001491.2:82140-82140;+	TSS	1	82140	82140	82140	82140	*
NC_001491.2	+	CAGE_cluster_618	111.819300011	1	82184	82184	1	82184	82184	1	NC_001491.2:82184-82184;+	TSS	1	82184	82184	82184	82184	*
NC_001491.2	+	CAGE_cluster_619	197.745699031	1	82208	82208	1	82208	82208	1	NC_001491.2:82208-82208;+	TSS	1	82208	82208	82208	82208	*
NC_001491.2	+	CAGE_cluster_62	111.819300011	1	11464	11464	1	11464	11464	1	NC_001491.2:11464-11464;+	TSS	1	11464	11464	11464	11464	*
NC_001491.2	+	CAGE_cluster_620	111.819300011	1	82276	82276	1	82276	82276	1	NC_001491.2:82276-82276;+	TSS	1	82276	82276	82276	82276	*
NC_001491.2	+	CAGE_cluster_621	4109.782265337	8	82331	82334	4	82331	82331	1	NC_001491.2:82331-82334;+	TSS	1	82331	82334	82331	82334	***
NC_001491.2	+	CAGE_cluster_622	197.745699031	1	82407	82407	1	82407	82407	1	NC_001491.2:82407-82407;+	TSS	1	82407	82407	82407	82407	*
NC_001491.2	+	CAGE_cluster_623	2468.217984227	5	82598	82599	2	82599	82599	1	NC_001491.2:82598-82599;+	TSS	1	82598	82599	82598	82599	**
NC_001491.2	+	CAGE_cluster_624	105.163529288	1	82817	82817	1	82817	82817	1	NC_001491.2:82817-82817;+	TSS	1	82817	82817	82817	82817	*
NC_001491.2	+	CAGE_cluster_625	767.898535723	5	82839	82842	4	82842	82842	1	NC_001491.2:82839-82842;+	TSS	1	82839	82842	82839	82842	**
NC_001491.2	+	CAGE_cluster_626	105.163529288	1	83521	83521	1	83521	83521	1	NC_001491.2:83521-83521;+	TSS	1	83521	83521	83521	83521	*
NC_001491.2	+	CAGE_cluster_627	9882.10484979	9	84364	84369	6	84367	84367	1	NC_001491.2:84364-84369;+	TSS	1	84364	84369	84364	84369	***
NC_001491.2	+	CAGE_cluster_628	302.909228319	2	84399	84401	3	84399	84399	1	NC_001491.2:84399-84401;+	TSS	1	84399	84401	84399	84401	*
NC_001491.2	+	CAGE_cluster_629	105.163529288	1	84440	84440	1	84440	84440	1	NC_001491.2:84440-84440;+	TSS	1	84440	84440	84440	84440	*
NC_001491.2	+	CAGE_cluster_63	105.163529288	1	11573	11573	1	11573	11573	1	NC_001491.2:11573-11573;+	TSS	1	11573	11573	11573	11573	*
NC_001491.2	+	CAGE_cluster_630	105.163529288	1	84561	84561	1	84561	84561	1	NC_001491.2:84561-84561;+	TSS	1	84561	84561	84561	84561	*
NC_001491.2	+	CAGE_cluster_631	105.163529288	1	84638	84638	1	84638	84638	1	NC_001491.2:84638-84638;+	TSS	1	84638	84638	84638	84638	*
NC_001491.2	+	CAGE_cluster_632	105.163529288	1	84734	84734	1	84734	84734	1	NC_001491.2:84734-84734;+	TSS	1	84734	84734	84734	84734	*
NC_001491.2	+	CAGE_cluster_633	1498.735337916	3	84815	84819	5	84819	84819	1	NC_001491.2:84815-84819;+	TSS	1	84815	84819	84815	84819	***
NC_001491.2	+	CAGE_cluster_634	223.638600022	1	85174	85176	3	85174	85174	1	NC_001491.2:85174-85176;+	TSS	1	85174	85176	85174	85176	*
NC_001491.2	+	CAGE_cluster_635	197.745699031	1	85667	85667	1	85667	85667	1	NC_001491.2:85667-85667;+	TSS	1	85667	85667	85667	85667	*
